City,Store,Phone,Outlet Name,Our Stores
Bangalore,"Shop no.UG-08, Upper Ground, Bangalore East, Mahdevpura, Near Krishnaranjapuram Flyover, Bengaluru, Karnataka - 560048",+91 80 672660590,FACES Phoenix Market City Mall,Yes
Cochin,"33/629, Ground Floor, Edapally, Cochin, Kerala - 682024",+91 48 44044556,FACES LULU International Shopping Mall Pvt. Ltd.,Yes
Coimbatore,"G-15, No.-67-71, Krishnaswamy Road, Coimbatore, Tamilnadu - 641 001",+91 42 22255244,FACES Brookefield Estates Pvt. Ltd,Yes
Hyderabad,"First Floor F-02, Survey No. 64, (Part) Madhapur Village, Serilimgampally Mandal Ranga Reddy District, Hyderabad, Andhra Pradesh - 500081",+91 40 40072076,FACES Inorbit Cyberabad,Yes
Bangalore,"G2-10, Ground Floor, #86, EPIP Industrial Area, Bangalore East Taluk, Next to sathya sai Hospital, Bengaluru, Karnataka - 560066",+91 80 28029558,"FACES INORBIT MALL, Whitefield",Yes
Pune,"EB-GF-34A, Amanora Park Township, Village Sadesatranali (17- 1/2  Nali), Hadapsar, Taluka Haveli, Pune, Maharashtra - 411058",+91 20 67260356,FACES Amanora Mall,Yes
Mumbai,"Unit No. G-34, Ground Floor, Oberoi Garden City, Off Western Express Higway, Goregaon (East), Mumbai, Maharashtra - 400063",+91 22 42666659,FACES International Business Park,Yes
Mumbai,"230/ 2nd Floor, Linking Road, Malad (West), Mumbai, Maharashtra - 400064",+91 22 67706626,FACES Infinity 2 Mall,Yes
Mumbai,"Eastern Express Highway, Next to Jupiter Hospital, Thane West, Maharashtra - 400606",+91 22 61701053,FACES Viviana,Yes
Pune,"70 B, Ist Floor, Phoenix Marketcity Pune (Vamona Developers Pvt. Ltd.), S No. 207, Viman Nagar Road, Pune 411 014",+91 20 66206729,FACES Phoenix Market City Mall,Yes
Mumbai,"Shop No. GGC-7, High Street Phoenix, Phoenix Mill Compound, Lower Parel, Mumbai, Maharashtra - 400013",+91 22 67431441,FACES Grand Galleria Mall Connect,Yes
Nagpur,"Store No.: G-2, Behind Raman Science Center, Dr.Benoji Mehta Rd, Nagpur, Maharashtra - 440018",+91 712 2766133,FACES Empress Mall,Yes
Surat,"C/o Dhanlakshmi Infrastructure Pvt. Ltd., F. P. 29 Rundh Village, Dumas Road,  Magdalla, Surat, Gujrat - 395007",+91 261 6795060,FACES VR Surat,Yes
Mumbai,"UG-64, upper Ground Floor, LBS Marg , Kurla (W), Mumbai, Maharashtra - 400070",+91 22 61801343,FACES Phoenix Market city,Yes
Pune,"G – 17, Ground Floor, CTS 42 & 43, Shankar Seth Road, Gultekdi, Pune, Maharashtra - 411042",+91 20 66206729,FACES Pacific Mall,Yes
Pune,"Ground Floor, Viman Nagar, Pune, Maharashtra - 411014",+91 20 66145192,FACES Inorbit Mall,Yes
New Delhi,"Najafgarh road, Tagore Garden, New Delhi - 110018",+91 11 45699252,FACES Pacific Mall,Yes
Ludhiana,"FF-10, Plot No.B-XX-622, Ferozepore  Road, Ludhiana, Punjab - 141001",+91 161 466405,FACES  Sliver Arc Mall,Yes
Jaipur,"Shop No.6, Lower Ground Floor, Block-A, Tower – A1, World Trade Park, Jawahar Lal Nehru Marg, Jaipur, Rajasthan - 302017",+91 141 2728083,FACES World Trade Park,Yes
Vadodara,"G-40, Vadodara Alembic Road, Village Subhanpura, Vadodara, Gujrat - 391220",,FACES Inorbit Mall,Yes
Mumbai,"G – 72, L.B.S. Marg, Ghatkopar (W), Mumbai, Maharashtra - 400 086",+91 22 66429814,FACES R City Mall,Yes
Chennai,"S-55, Ground floor, No. 49/50 L, Whites Road, Royapettah, Chennai, Tamilnadu - 600 014",+91 44 20464140,FACES EXPRESS AVENUE,Yes
Chennai,"S-28, Second floor, 142, Velachery Main Road, Chennai, Tamilnadu - 600 042",+91 44 30083497 ,FACES PHOENIX MARKET CITY,Yes
New Delhi,"F 77, 1st floor, District Centre - Saket, New Delhi - 110017",+91 11 41016435,FACES SELECT CITY WALK,Yes
